display_title,mpaa_rating,critics_pick,byline,headline,summary_short,publication_date,opening_date,date_updated,link,multimedia
R.M.N.,,1,Manohla Dargis,‘R.M.N.’ Review: A Bleak Diagnosis for Romania,"The director Cristian Mungiu, a powerhouse of the Romanian New Wave, examines a village’s explosive reaction to a bakery hiring some foreign workers.",2023-04-27,2023-04-07,2023-04-27 18:22:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2023/04/27/movies/rmn-review-cristian-mungiu.html', 'suggested_link_text': 'Read the New York Times Review of R.M.N.'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2023/04/28/multimedia/rmn-review2-qwvg/rmn-review2-qwvg-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
"Are You There God? It's Me, Margaret.",PG-13,1,Lisa Kennedy,"‘Are You There God? It’s Me, Margaret’ Review: Periods and Question Marks",Judy Blume’s groundbreaking novel about puberty — and so much more — finally gets the adaptation it deserves.,2023-04-27,2023-04-28,2023-04-27 17:20:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2023/04/27/movies/are-you-there-god-its-me-margaret-review.html', 'suggested_link_text': ""Read the New York Times Review of Are You There God? It's Me, Margaret.""}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2023/04/28/multimedia/27are-you-there1-wfkt/27are-you-there1-wfkt-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
Polite Society,PG-13,1,Amy Nicholson,‘Polite Society’ Review: Pride and Plenty of Fists,"This exuberant genre mash-up borrows from everything — westerns, musicals, heist capers, horror, Jane Austen and James Bond — to tell the story of two sisters.",2023-04-27,2023-04-28,2023-04-27 16:55:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2023/04/27/movies/polite-society-review.html', 'suggested_link_text': 'Read the New York Times Review of Polite Society'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2023/04/27/multimedia/27polite-society-review-mvlf/27polite-society-review-mvlf-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
Nuclear Now,,1,Brandon Yu,‘Nuclear Now’ Review: Oliver Stone Makes the Case for Power Plants,The director’s new documentary considers our complicated relationship to nuclear energy and argues that it is our best hope against climate change.,2023-04-27,2023-05-01,2023-04-27 11:04:02,"{'type': 'article', 'url': 'https://www.nytimes.com/2023/04/27/movies/nuclear-now-review.html', 'suggested_link_text': 'Read the New York Times Review of Nuclear Now'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2023/04/28/multimedia/27nuclear-now-review1-mtqz/27nuclear-now-review1-mtqz-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
Four Quartets,,0,Teo Bugbee,‘Four Quartets’ Review: Virtuosi in Verse,"Ralph Fiennes delivers an animated performance of the T.S. Eliot works, but the film doesn’t quite succeed in bringing the stage into the cinema.",2023-04-27,,2023-04-27 18:23:06,"{'type': 'article', 'url': 'https://www.nytimes.com/2023/04/27/movies/four-quartets-review.html', 'suggested_link_text': 'Read the New York Times Review of Four Quartets'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2023/04/27/multimedia/27four-quartets-review-zflc/27four-quartets-review-zflc-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
The End of Sex,R,0,Beatrice Loayza,‘The End of Sex’ Review: When Domesticity Kills the Mood,This comedy follows the misadventures of a bored 40-something married couple who are attempting to spice up their sex life.,2023-04-27,2023-04-28,2023-04-27 17:03:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2023/04/27/movies/the-end-of-sex-review.html', 'suggested_link_text': 'Read the New York Times Review of The End of Sex'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2023/04/27/multimedia/27end-of-sex-review-lvbf/27end-of-sex-review-lvbf-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
Big George Foreman: The Miraculous Story of the Once and Future Heavyweight Champion of the World,PG-13,0,Glenn Kenny,‘Big George Foreman’ Review: Not the Biopic a Two-time Champ Deserves,"The fictionalized film, with the boxer himself as one of its executive producers, crams a lot of events into its running time, leaving its charismatic cast on the ropes.",2023-04-27,2023-04-28,2023-04-27 16:41:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2023/04/27/movies/big-george-foreman-review.html', 'suggested_link_text': 'Read the New York Times Review of Big George Foreman: The Miraculous Story of the Once and Future Heavyweight Champion of the World'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2023/04/27/multimedia/27big-george-foreman-review-lkhz/27big-george-foreman-review-lkhz-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
The Restless,,0,Claire Shaffer,‘The Restless’ Review: The Painful Cycles of Mental Illness,Joachim Lafosse’s film is an intimate but flawed portrayal of the effect a man’s bipolar disorder has on his family.,2023-04-27,,2023-04-27 16:06:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2023/04/27/movies/the-restless-review.html', 'suggested_link_text': 'Read the New York Times Review of The Restless'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2023/04/27/multimedia/27restless-review1-gkht/27restless-review1-gkht-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
Freaks Out,,0,Nicolas Rapold,‘Freaks vs. the Reich’ Review: Band of Others,"This big-hearted, blithely odd adventure pits a troupe of superpowered circus folk against a psychic Nazi pianist.",2023-04-27,2023-04-28,2023-04-27 15:44:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2023/04/27/movies/freaks-vs-the-reich-review.html', 'suggested_link_text': 'Read the New York Times Review of Freaks Out'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2023/04/27/multimedia/27freaks-vs-reich-review-sub-jmck/27freaks-vs-reich-review-sub-jmck-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
Those Who Remained,,0,Ben Kenigsberg,‘Those Who Remained’ Review: Managing Unimaginable Grief,"Set in Hungary after World War II, this film concerns a doctor and a teenager seeking to fill the void left by the relatives they lost.",2023-04-27,2020-02-21,2023-04-27 13:45:02,"{'type': 'article', 'url': 'https://www.nytimes.com/2023/04/27/movies/those-who-remained-review.html', 'suggested_link_text': 'Read the New York Times Review of Those Who Remained'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2023/04/26/multimedia/those1-wklm/those1-wklm-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
Winter Boy,,0,Devika Girish,‘Winter Boy’ Review: Lost and Found,"In this French drama about a teenager grappling with grief, a winning cast rises above a heavy-handed script.",2023-04-27,2023-04-28,2023-04-27 13:44:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2023/04/27/movies/winter-boy-review.html', 'suggested_link_text': 'Read the New York Times Review of Winter Boy'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2023/04/26/multimedia/winter1-tckb/winter1-tckb-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
Sisu,R,0,Calum Marsh,‘Sisu’ Review: Sweat Wicking,A seemingly invincible former commando goes on a rampage in this blandly gratuitous World War II action movie.,2023-04-27,2023-04-28,2023-04-27 11:02:05,"{'type': 'article', 'url': 'https://www.nytimes.com/2023/04/27/movies/sisu-review.html', 'suggested_link_text': 'Read the New York Times Review of Sisu'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2023/04/28/multimedia/27sisu-review-vbjt/27sisu-review-vbjt-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
Clock,,0,Elisabeth Vincentelli,‘Clock’ Review: That Biological Ticking Is Now a Time Bomb,"A woman who does not want children is pressured into changing her mind, with horrific results, in Alexis Jacknow’s fitfully scary horror movie.",2023-04-27,2023-04-28,2023-04-27 11:03:06,"{'type': 'article', 'url': 'https://www.nytimes.com/2023/04/27/movies/clock-review.html', 'suggested_link_text': 'Read the New York Times Review of Clock'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2023/04/27/multimedia/27clock-review-lpwg/27clock-review-lpwg-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
Broadway,,0,Kelli Weston,‘Broadway’ Review: Life on the Margins,Christos Massalas’s compelling debut feature follows a winsome troupe of castaways in modern Greece.,2023-04-27,,2023-04-27 11:01:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2023/04/27/movies/broadway-review.html', 'suggested_link_text': 'Read the New York Times Review of Broadway'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2023/04/26/multimedia/broadway1-mqwc/broadway1-mqwc-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
Wynonna Judd: Between Hell and Hallelujah,,0,Chris Azzopardi,‘Wynonna Judd: Between Hell and Hallelujah’ Review: The Show Must Go On,"A documentary about the country star, whose mother and singing partner, Naomi Judd, died last year, mostly fails to kindle unguided emotions.",2023-04-26,2023-04-26,2023-04-26 18:27:10,"{'type': 'article', 'url': 'https://www.nytimes.com/2023/04/26/movies/wynonna-judd-between-hell-and-hallelujah-review.html', 'suggested_link_text': 'Read the New York Times Review of Wynonna Judd: Between Hell and Hallelujah'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2023/04/26/multimedia/26wynonna-judd-doc-review1-lvkq/26wynonna-judd-doc-review1-lvkq-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
Centurion: The Dancing Stallion,PG,0,Natalia Winkelman,‘Centurion: The Dancing Stallion’ Review: Romance on the Ranch,A young woman training for a horse dancing competition confronts a medical crisis in this conventional family melodrama.,2023-04-25,,2023-04-25 19:32:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2023/04/25/movies/centurion-the-dancing-stallion-review.html', 'suggested_link_text': 'Read the New York Times Review of Centurion: The Dancing Stallion'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2023/04/25/multimedia/25centurion-review-qcgf/25centurion-review-qcgf-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
Evil Dead Rise,R,0,Jason Zinoman,‘Evil Dead Rise’ Review: Mommy Issues,The matriarch of a family ends up demon-possessed in this blood-drenched entry in the long-running horror franchise.,2023-04-21,2023-04-21,2023-04-21 13:03:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2023/04/21/movies/evil-dead-rise-review.html', 'suggested_link_text': 'Read the New York Times Review of Evil Dead Rise'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2023/04/20/multimedia/evil-dead-rise1-wvlj/evil-dead-rise1-wvlj-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
A Tourist's Guide to Love,TV-PG,0,Elisabeth Vincentelli,‘A Tourist’s Guide to Love’ Review: A Wearyingly Familiar Trip,Rachael Leigh Cook stars in this bland rom-com as a travel executive exploring Vietnam and getting over a breakup.,2023-04-21,2023-04-21,2023-04-21 07:04:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2023/04/21/movies/a-tourists-guide-to-love-review.html', 'suggested_link_text': ""Read the New York Times Review of A Tourist's Guide to Love""}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2023/04/21/multimedia/21tourists-guide-to-love-review1-qhwp/21tourists-guide-to-love-review1-qhwp-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
Ghosted,PG-13,0,Calum Marsh,‘Ghosted’ Review: A C.I.A. Meet Cute,"A date becomes a spy skirmish in this action-heavy, paint-by-numbers Apple TV+ rom-com starring Chris Evans and Ana de Armas.",2023-04-21,2023-04-21,2023-04-21 01:01:05,"{'type': 'article', 'url': 'https://www.nytimes.com/2023/04/20/movies/ghosted-review.html', 'suggested_link_text': 'Read the New York Times Review of Ghosted'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2023/04/20/multimedia/ghosted2-jvgh/ghosted2-jvgh-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
Dry Ground Burning,,1,Beatrice Loayza,"‘Dry Ground Burning’ Review: Feminist Gangsters, Brazilian Style","Featuring a cast of local actors playing semi-fictionalized versions of themselves, this movie flies in the face of the country’s political establishment.",2023-04-20,,2023-04-20 18:10:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2023/04/20/movies/dry-ground-burning-review.html', 'suggested_link_text': 'Read the New York Times Review of Dry Ground Burning'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2023/04/20/multimedia/20dry-ground-burning-review-jtmg/20dry-ground-burning-review-jtmg-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
Other People's Children,,1,Manohla Dargis,‘Other People’s Children’ Review: True Romance,"A radiant Virginie Efira stars as a Parisian teacher who blissfully falls for a man and his 4-year-old daughter, complicating everyone’s lives.",2023-04-20,,2023-04-20 15:36:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2023/04/20/movies/other-peoples-children-review.html', 'suggested_link_text': ""Read the New York Times Review of Other People's Children""}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2023/04/20/multimedia/20other1-jfzc/20other1-jfzc-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
